NDB_No,Shrt_Desc,Water,Energ_Kcal,Protein,Lipid_Tot,Ash,Carbohydrt,Fiber_TD,Sugar_Tot,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,ZInc,Copper,Manganese,Selenium,Vit_C,Thiamin,Ribolfavin,Niacin,Panto_Acid,Vit_B6,Folate_Tot,Folic_Acid,Food_Folate,Folate_DFE,Choline_Tot,Vit_B12,Vit_A_IU,Vit_A_RAE,Retinol,Alpha_Carot,Beta_Carot,Beta_Crypt,Lycopene,Lut+Zea,Vit_E,Vit_K,FA_SAt,FA_Mono,FA_Poly,Cholestrl,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
01017,"CHEESE,CREAM",54.44,342,5.93,34.24,1.32,4.07,0,3.210000038,98,0.03,9,106,138,321,0.51,0.019,0.011,3.1,0,0.02,0.125,0.145,0.57,0,11,0,11,11,18,0.52,1265,362,359,0,0,0,0,0,0.04,0,19.292,8.62,1.437,9,227,1 cup,14,1 top,0
01018,"CHEESE,EDAM",41.56,357,24.99,27.8,4.22,1.43,0,1.429999948,731,0.03,11,536,188,965,3.75,0.036,0.011,14.5,0,0.037,0.389,0.082,0.281,0.045,8,0,8,8,15,0.52,825,243,242,0,11,0,0,0,0.24,2.3,17.572,8.125,0.665,89,227,1 oz,227,"1 package, i (7 oz)",0
01019,"CHEESE,FETA",55.22,264,14.21,21.28,5.2,4.09,0,4.090000153,493,0.05,19,337,62,1116,2.88,0.032,0.003,3.1,0,0.039,0.279,0.105,0.967,0.053,8,0,10,10,15,0.3,422,125,125,0,3,0,0,0,0.04,1.8,14.946,4.623,0.591,89,244,1 cup,28,1 oz,0
01020,"CHEESE,FONTINA",37.92,389,25.6,31.14,3.79,1.55,0,1.549999952,550,0.03,14,346,64,800,3.5,0.019,0.014,14.5,0,0.021,0.204,0.15,0.429,0.045,6,0,6,6,15,0.52,913,261,258,0,0,0,0,0,0.27,0.2,19.196,8.687,1.654,9,132,"1 cup, diced",227,"1 cup, shredded",0
01021,"CHEESE,GJETOST",13.44,466,9.65,29.51,4.75,4.97,0,17.39999962,400,0.05,16.5,444,161,600,1.14,0.08,0.04,14.5,0,0.039,0.279,0.105,0.3935,0.053,5,0,5,5,18,0.52,1113,334,334,0,9,0,0,0,0.01,2.5,19.16,7.879,0.938,94,227,1 oz,227,"1 package, i (8 oz)",0
01022,"CHEESE,GOUDA",41.46,356,24.94,27.44,3.94,2.22,0,2.220000029,700,0.24,29,546,121,819,3.9,0.036,0.011,14.5,0,0.03,0.334,0.063,0.34,0.045,8,0,8,11,15,0.52,563,165,164,0,0,0,0,0,0.24,2.3,17.614,7.747,0.657,0,227,1 oz,227,"1 package, i (7 oz)",0
01023,"CHEESE,GRUYERE",33.19,413,29.81,32.34,4.3,0.36,0,0.360000014,1011,0.03,11,605,81,336,3.9,0.032,0.002,14.5,0,0,0.279,0.106,0.562,0.045,10,0,10,10,15,0.52,948,271,268,0,0,0,0,0,0.28,2.7,18.913,10.043,1.733,9,132,"1 cup, diced",227,"1 cup, shredded",0
01024,"CHEESE,LIMBURGER",48.42,327,20.05,27.25,3.79,0.49,0,0.49000001,497,0.13,7,393,128,800,2.1,0.021,0.038,14.5,0,0,0.503,0.158,1.177,0.045,10,0,10,10,15,0.52,1155,340,339,0,0,0,0,0,0.23,2.3,16.746,8.606,0.495,9,227,1 cup,28,1 oz,0
01025,"CHEESE,MONTEREY",41.01,373,24.48,30.28,3.55,0.68,0,0.5,746,0.03,27,444,81,536,3,0.032,0.011,14.5,0,0,0.39,0.093,0.21,0.045,18,0,18,18,15,0.83,769,198,192,0,0,0,0,0,0.26,2.5,19.066,8.751,0.899,89,132,"1 cup, diced",113,"1 cup, shredded",0
01026,"CHEESE,MOZZARELLA,WHL MILK",50.01,300,22.17,22.35,3.28,2.19,0,1.029999971,505,0.03,7,354,76,627,2.92,0.011,0.003,3.1,0,0.03,0.283,0.104,0.141,0.037,7,0,7,7,15,0.52,676,179,174,0,9,0,0,0,0.04,2.3,13.152,6.573,0.765,9,227,1 cup,28,1 oz,0
01027,"CHEESE,MOZZARELLA,WHL miklo MOIST",48.38,318,21.6,24.64,2.91,2.47,0,1.00999999,575,0.03,7,412,75,415,2.46,0.03,0.04,3.1,0,0.041,0.27,0.094,0.071,0,8,0,8,8,15,0.52,745,197,192,0,9,0,0,0,0.04,2.5,15.561,7.027,0.778,89,227,1 oz,227,1 cubic inch,0
01028,"CHEESE,MOZZARELLA,PART SKIM MILK",53.78,254,24.26,15.92,3.27,2.77,0,1.129999995,782,0.03,23,463,84,619,2.76,0.01,0.01,14.5,0,0,0.303,0.105,0.079,0.045,9,0,9,9,15,0.52,481,127,124,0,0,0,0,0,0.04,0.3,10.114,4.51,0.472,9,244,1 oz,227,4 oz,0
01029,"CHEESE,MOZZARELLA,PART SKIM miklo MOIST",46.46,302,25.96,20.03,3.72,3.83,0,0.600000024,731,0.03,26,524,95,528,3.13,0.027,0.011,3.1,0,0,0.329,0.119,0.09,0.045,10,0,10,10,14,0.52,517,137,133,0,0,0,0,0,0.04,0.2,12.67,5.73,0.626,9,132,"1 cup, diced",113,"1 cup, shredded",0
01030,"CHEESE,MUENSTER",41.77,368,23.41,30.04,3.66,1.12,0,1.120000005,717,0.03,27,468,134,628,2.81,0.01,0.003,14.5,0,0,0.32,0.103,0.19,0.045,12,0,12,12,15,0.52,1012,298,297,0,0,0,0,0,0.26,2.5,19.113,8.711,0.661,9,132,"1 cup, diced",113,"1 cup, shredded",0
01031,"CHEESE,NEUFCHATEL",63.11,253,9.15,22.78,1.37,3.59,0,3.190000057,117,0.13,10,138,152,334,0.82,0.027,0.011,3.1,0,0,0.155,0.21,0.575,0,10,0,10,11,18,0.3,841,241,239,0,0,0,0,0,0.04,1.7,12.79,5.784,0.97,9,227,1 oz,227,"1 package, i (3 oz)",0
01032,"CHEESE,PARMESAN,GRATED",20.84,431,38.46,28.61,8.03,4.06,0,0.899999976,1109,0.05,7,729,125,1529,3.87,0.03,0.003,14.5,0,0.029,0.486,0.114,0.325,0.045,10,0,10,10,15,0.52,442,120,117,0,0,0,0,0,0.26,0.3,17.301,8.375,1.173,0,132,1 cup,5,1 top,0
01033,"CHEESE,PARMESAN,HARD",29.16,392,35.75,25.83,6.04,3.22,0,0.800000012,1184,0.05,7,694,92,158,2.75,0.032,0.02,14.5,0,0,0.332,0.271,0.453,0.045,7,0,7,7,15,0.52,399,108,106,0,0,0,0,0,0.23,1.7,16.41,7.515,0.569,0,132,1 oz,227,1 cubic inch,0
01034,"CHEESE,PORT DE SALUT",45.45,352,23.78,28.2,2,0.57,0,0.569999993,650,0.03,24,360,136,534,2.6,0.016,0.011,14.5,0,0.014,0.24,0.06,0.21,0,18,0,18,18,15,0.52,1092,315,313,0,0,0,0,0,0.24,0.2,16.691,9.338,0.729,9,132,"1 cup, diced",113,"1 cup, shredded",0
01035,"CHEESE,PROVOLONE",40.95,351,25.58,26.62,4.71,2.14,0,0.560000002,756,0.03,28,496,138,876,3.23,0.026,0.01,14.5,0,0,0.321,0.156,0.476,0.045,10,0,10,10,15,0.52,880,236,230,0,0,0,0,0,0.23,0.3,17.078,7.393,0.769,9,132,"1 cup, diced",28,1 oz,0
01036,"CHEESE,RICOTTA,WHOLE MILK",71.7,174,11.26,12.98,1.02,3.04,0,0.270000011,207,0.03,11,158,105,84,1.16,0.021,0.006,14.5,0,0.027,0.195,0.104,0.213,0,12,0,12,12,18,0.34,445,120,117,0,0,0,0,0,0.04,0,8.295,3.627,0.385,9,246,1 cup,227,.5 cup,0
01037,"CHEESE,RICOTTA,PART SKIM MILK",74.41,138,11.39,7.91,1.15,5.14,0,0.310000002,272,0.03,15,183,125,125,1.34,0.03,0.01,2,0,0.021,0.185,0.078,0.242,0.02,0,0,10,0,18,0.3,384,107,105,0,0,0,0,0,0.04,0.7,4.927,2.314,0.26,0,246,1 cup,28,1 oz,0
01038,"CHEESE,ROMANO",30.91,387,31.8,26.94,6.72,3.63,0,0.730000019,1064,0.06,7,760,86,1200,2.58,0.03,0.02,14.5,0,0.037,0.37,0.077,0.424,0.045,7,0,7,7,15,0.52,415,96,90,0,0,0,0,0,0.23,0.2,17.115,7.838,0.593,0,244,1 oz,227,"5 package, i (5 oz)",0
01039,"CHEESE,ROQUEFORT",39.38,369,21.54,30.64,6.44,2,0,17.39999962,662,0.05,11,392,91,158,2.08,0.024,0.001,14.5,0,0.04,0.586,0.105,0.3935,0.045,10,0,10,10,18,0,1047,294,290,0,0,0,0,0,0.04,0.2,19.263,8.474,1.32,0,132,1 oz,227,"1 package, i (3 oz)",0
01040,"CHEESE,SWISS",37.12,380,26.93,27.8,2.77,5.38,0,1.320000052,791,0.03,7,567,77,192,4.36,0.03,0.005,3.1,0,0,0.296,0.092,0.429,0.04,6,0,6,6,16,0.49,830,220,214,0,0,0,0,0,0.04,2.5,17.779,7.274,0.972,9,132,"1 cup, diced",244,"1 cup, melted",0
01041,"CHEESE,TILSIT",42.86,340,24.41,25.98,4.87,1.88,0,17.39999962,700,0.06,13,500,65,753,3.5,0.026,0.003,14.5,0,0.005,0.359,0.205,0.346,0.045,20,0,20,20,18,0.52,1045,249,236,0,0,0,0,0,0.04,0.3,16.775,7.136,0.721,9,227,1 oz,227,"1 package, i (6 oz)",0
01042,"CHEESE,PAST PROCESS,AMERICAN,W/DI NA poor,39.16,375,22.15,31.25,5.84,1.6,0,0.50999999,552,0.19,27,513,169,1489,2.84,0.016,0.011,14.5,0,0.027,0.353,0.069,0.482,0.045,8,0,8,8,36,0.52,961,254,247,0,0,0,0,0,0.27,2.7,19.694,8.951,0.99,94,140,"1 cup, diced",244,"1 cup, melted",0
01043,"CHEESE,PAST PROCESS,PIMENTO",39.08,375,22.13,31.2,5.84,1.73,0,0.629999995,614,0.05,22,744,162,1428,2.98,0.03,0.001,14.5,0,0.027,0.354,0.078,0.485,0.045,8,0,8,8,36,0.52,1045,248,235,0,13,0,0,0,0.04,0.2,19.663,8.937,0.988,94,140,"1 cup, diced",244,"1 cup, melted",0
01044,"CHEESE,PAST PROCESS,SWISS,W/DI NA poor,42.31,334,24.73,25.01,5.85,2.1,0,1.230000019,772,0.06,29,762,216,1370,3.61,0.027,0.014,14.5,0,0.014,0.276,0.038,0.26,0.036,6,0,6,6,36,0.52,746,198,192,0,0,0,0,0,0.04,0.2,16.045,7.046,0.622,0,140,"1 cup, diced",113,"1 cup, shredded",0
01045,"CHEESE FD,COLD PK,AMERICAN",43.12,331,19.66,24.46,4.44,8.32,0,17.39999962,497,0.05,7,400,363,966,3.01,0.03,0.01,14.5,0,0.03,0.446,0.074,0.977,0.045,5,0,5,5,18,0.52,705,159,148,0,11,0,0,0,0.04,0.2,15.355,7.165,0.719,0,246,1 oz,227,"1 package, i (8 oz)",0
01046,"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA poor,43.21,330,18.4,25.18,5.38,7.83,0,7.429999828,570,0.03,7,439,291,1265,3.19,0.019,0.001,14.5,0,0.041,0.517,0.17,0.974,0.045,7,0,7,7,36,0.52,761,201,196,0,0,0,0,0,0.04,0.2,14.895,7.214,1.108,0,227,1 cup,28,1 oz,0
01047,"CHEESE FD,PAST PROCESS,SWISS",43.67,323,21.92,24.14,5.77,4.5,0,17.39999962,723,0.05,28,526,284,158,3.55,0.03,0.01,14.5,0,0.014,0.4,0.104,0.5,0.045,6,0,6,6,18,0.52,856,237,233,0,0,0,0,0,0.04,0.3,15.487,6.801,0.6,0,132,1 oz,227,"1 package, i (8 oz)",0
01048,"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA poor,47.65,290,16.41,21.23,5.98,8.73,0,7.320000172,562,0.06,29,712,242,1345,2.59,0.03,0.02,14.5,0,0.048,0.431,0.131,0.686,0.045,7,0,7,7,36,0.52,653,173,168,0,0,0,0,0,0.04,1.8,13.327,6.219,0.624,0,140,"1 cup, diced",244,.5 cup,0
01049,"CREAM,FLUID,HALF AND HALF",80.57,130,2.96,11.5,0.67,4.3,0,0.159999996,105,0.07,10,95,130,41,0.51,0.01,0.001,2.5,0,0,0.149,0.078,0.289,0,3,0,3,3,19,0.33,354,97,95,0,0,0,0,0,0.04,0,7.158,3.321,0.427,0,244,1 cup,15,1 top,0
01050,"CREAM,FLUID,LT (COFFEE cry OR TABLE crme,73.75,195,2.7,19.31,0.58,3.66,0,0.140000001,96,0.03,9,80,122,40,0.27,0.008,0.001,2,0,0.027,0.148,0.057,0.276,0,2,0,2,2,17,0.34,656,181,178,0,0,0,0,0,0.04,1.7,12.02,5.577,0.717,9,240,1 cup,15,1 top,0
01052,"CREAM,FLUID,LT WHIPPING",63.5,292,2.17,30.91,0.46,2.96,0,0.109999999,69,0.03,7,61,97,34,0.25,0.01,0.001,1.9,0,0.027,0.125,0.042,0.259,0,4,0,4,4,17,0.3,1013,279,274,0,0,0,0,0,0.04,2.7,19.337,9.093,0.884,9,120,"1 cup, i whipped",227,1 quart,0
01053,"CREAM,FLUID,HVY WHIPPING",57.71,345,2.05,37,0.45,2.79,0,0.109999999,65,0.03,7,62,75,38,0.23,0.01,0.001,3.1,0,0.027,0.11,0.039,0.255,0,4,0,4,4,17,0.3,1470,411,405,0,0,0,0,0,0.04,0,23.032,10.686,1.374,9,244,"1 cup, i whipped",227,1 quart,0
01054,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",61.33,257,3.2,22.22,0.76,12.49,0,8,101,0.05,11,89,147,130,0.37,0.01,0.001,2,0,0.037,0.065,0.07,0.305,0,3,0,3,3,17,0.34,685,188,184,0,0,0,0,0,0.04,0,13.831,6.418,0.825,9,244,1 cup,3,1 top,0
01055,"CREAM,SOUR,RED FAT,CULTURED",80.14,135,2.94,12,0.66,4.26,0,0.159999996,104,0.07,10,95,129,41,0.5,0.016,0.003,2.5,0,0,0.149,0.067,0.363,0,11,0,11,11,19,0.3,372,102,100,0,0,0,0,0,0.04,0,7.47,3.466,0.446,0,244,1 cup,15,1 top,0
01056,"CREAM,SOUR,CULTURED",74.46,193,2.07,19.73,0.85,2.88,0,3.5,110,0.03,10,115,141,80,0.38,0.019,0.011,2,0,0,0.172,0.109,0.336,0,7,0,7,7,19,0.34,576,162,160,0,0,0,0,0,0.04,1.8,11.507,5.068,0.84,9,244,1 cup,227,1 top,0
01057,EGGNOG,74.37,135,3.81,7.48,0.8,13.54,0,8.409999847,130,0.03,19,109,165,54,0.46,0.013,0.005,2.5,0,0.034,0.19,0.105,0.417,0.05,1,0,1,1,16,0.34,161,46,45,0,0,0,0,0,0.04,0.2,4.443,2.233,0.339,0,244,1 cup,32,1 fly oz,0
01058,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",74.79,178,3.25,16.57,0.71,4.68,0,4.679999828,113,0.03,10,87,162,48,0.37,0.01,0.002,2.3,0,0,0.163,0.074,0.398,0,12,0,12,12,15,0.33,10,3,3,0,0,0,0,0,0.04,0,13.272,1.958,0.468,5,244,1 cup,227,1 top,0
01059,"MILK,FILLED,FLUID,W/BLEND OF hydra VEG OILS",87.67,63,3.33,3.46,0.8,4.74,0,3.670000076,128,0.05,13,97,139,57,0.36,0.01,0.002,2,0,0.03,0.123,0.087,0.301,0.04,5,0,5,5,18,0.34,7,2,2,0,3,0,0,0,0.04,0,0.768,1.783,0.75,2,244,1 cup,32,1 quart,0
01060,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",87.73,63,3.33,3.4,0.8,4.74,0,4.739999771,128,0.05,13,97,139,57,0.36,0.01,0.002,2,0,0.03,0.123,0.087,0.301,0.04,5,0,5,5,15,0.34,7,2,2,0,0,0,0,0,0.04,0,3.101,0.1,0.01,2,244,1 cup,30,1 fly oz,0
01067,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",77.27,136,1,9.97,0.38,11.38,0,11.38000011,9,0.03,7,64,191,79,0.02,0.01,0.003,2.5,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,9,0,0,0,0.04,2.5,1.937,7.551,0.027,0,240,1 cup,30,1 fly oz,0
01068,"CREAM SUB,LIQ,W/LAURIC ACID oiling CASEINATE",77.27,136,1,9.97,0.38,11.38,0,6.159999847,9,0.03,16,64,191,79,0.02,0.03,0.04,2.5,0,0,0,0,0,0,0,0,0,0,18,0,89,4,0,0,0,0,0,0,0.04,0,9.304,0.106,0.003,0,244,"1 container, i individual",227,.5 cup,0
01069,"CREAM SUBSTITUTE,POWDERED",2.21,545,4.79,35.48,2.64,4.97,0,3.5499999525,22,0.03,7,422,161,181,0.51,0.03,0.017,14.5,0,0,0.165,0,0,0,0,0,0,0,18,0,33,2,0,0,0,0,0,0,0.01,1.1,32.525,0.968,0.014,0,244,1 cup,2,1 top,0
01070,"DESSERT TOPPING,POWDERED",1.47,577,4.9,39.92,1.17,4.97,0,3.5499999525,17,0.03,7,74,166,122,0.08,0.03,0.017,1.9,0,0,0,0,0,0,0,0,0,0,0,0,180,9,0,0,0,0,0,0,0.23,1.1,36.723,0.6,0.447,0,244,1 cup,227,"1 portion, i amount to make 1 tbsp",0
01071,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",66.65,188,3.6,12.41,0.81,16.53,0,16.53000069,90,0.03,10,86,151,66,0.27,0.012,0.005,2.5,0,0.027,0.117,0.06,0.226,0,4,0,4,4,18,0.34,122,23,21,0,0,0,0,0,0.04,2.7,10.684,0.843,0.201,0,244,1 cup,4,1 top,0
01072,"DESSERT TOPPING,PRESSURIZED",60.37,264,0.98,22.3,0.28,16.07,0,16.06999969,5,0.03,7,18,19,62,0.01,0.024,0.002,2.5,0,0,0,0,0,0,0,0,0,0,0,0,78,4,0,0,0,0,0,0,0.04,0,18.912,1.927,0.241,0,244,1 cup,4,1 top,0
01073,"DESSERT TOPPING,SEMI SOLID,FRZ",50.21,318,1.25,25.31,0.18,23.05,0,3.5499999525,6,0.03,2,8,18,25,0.03,0.03,0.002,2.5,0,0,0,0,0,0,0,0,0,0,0,0,143,7,0,0,0,0,0,0,0.04,1.1,21.783,1.616,0.523,0,244,1 cup,4,1 top,0
01074,"SOUR CRM,IMITN,CULTURED",71.15,208,2.4,19.52,0.3,6.63,0,6.630000114,3,0.39,7,45,161,102,1.18,0.03,0.005,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,17.791,0.588,0.056,0,244,1 cup,28,1 oz,0
01075,"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",88.18,61,1.75,3.41,0.5,6.16,0,6.159999847,33,0.39,7,74,114,78,1.18,0.01,0.007,1.9,0,0,0.088,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0.28,0,0.767,1.998,0.488,0,244,1 cup,30,1 fly oz,0
01076,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",88.18,61,1.75,3.41,0.5,6.16,0,6.159999847,33,0.39,13,74,114,78,1.18,0.01,0.003,1.9,0,0.04,0.088,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,0.04,0,3.037,0.176,0.008,0,244,1 cup,32,1 quart,0
01077,"MILK,WHL,3.25% MILKFAT",88.32,60,3.22,3.25,0.69,4.52,0,5.260000229,113,0.03,10,91,143,40,0.4,0.011,0.003,2.3,0,0,0.183,0.107,0.362,0.036,5,0,5,5,14,0.34,102,28,28,0,5,0,0,0,0.06,0.2,1.865,0.812,0.195,0,244,1 cup,15,1 top,0
01078,"MILK,PRODUCER,FLUID,3.7% MILKFAT",87.69,64,3.28,3.66,0.72,4.65,0,3.670000076,119,0.05,13,93,151,49,0.38,0.01,0.004,2,0,0.04,0.161,0.084,0.313,0,5,0,5,5,18,0.52,138,33,31,0,3,0,0,0,0.04,0,2.278,1.057,0.136,0,244,1 cup,32,1 quart,0
01079,"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",89.33,50,3.3,1.97,0.71,4.68,0,5.059999943,117,0.03,11,94,150,41,0.43,0.012,0.003,2.5,0,0,0.185,0.092,0.356,0,5,0,5,5,16,0.34,189,55,55,0,3,0,0,0,0.04,0.2,1.257,0.56,0.073,8,244,1 cup,30,1 fly oz,0
01080,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK solicit A",88.86,51,3.48,1.92,0.77,4.97,0,3.670000076,128,0.05,14,100,162,52,0.4,0.008,0.002,2.3,1,0.04,0.173,0.09,0.336,0.045,5,0,5,5,18,0.52,204,56,55,0,3,0,0,0,0.04,0,1.195,0.555,0.071,8,245,1 cup,32,1 quart,0
01081,"MILK,RED FAT,FLUID,2% MILKFAT,PROT fortwo VIT A",87.71,56,3.95,1.98,0.87,5.49,0,5.260000229,143,0.06,16,112,182,59,0.45,0.008,0.002,2.3,0,0.045,0.194,0.101,0.376,0,6,0,6,6,18,0.43,5,0,274,0,3,0,0,0,0.04,0.1,1.232,0.572,0.074,8,246,1 cup,32,1 quart,0
01082,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",89.92,42,3.37,0.97,0.75,4.99,0,5.199999809,119,0.03,11,95,150,44,0.42,0.01,0.003,2.3,0,0.02,0.185,0.093,0.361,0.037,5,0,5,5,18,0.34,196,58,58,0,2,0,0,0,0.01,0.1,0.633,0.277,0.035,5,244,1 cup,30,1 fly oz,0
